""	"L617_KO1"	"L618_KO2"	"L619_KO3"	"L620_WT1"	"L621_WT2"	"L622_WT3"	"gene_name"
"ENSMUSG00000084767"	2.63573580090054	4.73174855288494	0.957097277480503	2.43910547880488	3.78656219242113	2.56569077193031	"Gm13098"
"ENSMUSG00000084769"	0	0	0	1.82932910910366	0	0	"Gm12061"
"ENSMUSG00000084771"	0	0	0.957097277480503	0	0	0	"Gm15139"
"ENSMUSG00000084773"	0	0	0.957097277480503	0	1.26218739747371	0	"Gm12159"
"ENSMUSG00000084780"	2.63573580090054	3.54881141466371	2.87129183244151	3.65865821820732	1.26218739747371	2.56569077193031	"Gm15350"
"ENSMUSG00000084781"	2.63573580090054	1.18293713822124	0	1.21955273940244	5.04874958989484	0	"D930015M05Rik"
"ENSMUSG00000084786"	518.361374177106	488.55303808537	512.047043452069	473.186462888147	545.264955708643	433.601740456223	"Ubl5"
"ENSMUSG00000084788"	0.87857860030018	7.09762282932741	2.87129183244151	1.21955273940244	1.26218739747371	6.41422692982578	"Gm11342"
"ENSMUSG00000084789"	0	0	0	0	0	1.28284538596516	"Gm12974"
"ENSMUSG00000084790"	16.6929934057034	33.1222398701946	22.0132373820516	19.5128438304391	16.4084361671582	21.8083715614076	"Gm15879"
"ENSMUSG00000084792"	4.3928930015009	3.54881141466371	2.87129183244151	3.0488818485061	5.04874958989484	5.13138154386062	"1700056N10Rik"
"ENSMUSG00000084794"	0	2.36587427644247	2.87129183244151	1.21955273940244	1.26218739747371	0	"Gm13662"
"ENSMUSG00000084796"	59.7433448204122	60.329794049283	63.1684203137132	44.5136749881891	56.798432886317	51.3138154386062	"A430104N18Rik"
"ENSMUSG00000084797"	19.328729206604	27.2075541790884	34.4555019892981	25.6106075274513	32.8168723343165	23.0912169473728	"Gm14321"
"ENSMUSG00000084798"	0	0	0.957097277480503	0	0	0	"4930533B01Rik"
"ENSMUSG00000084799"	6.15005020210126	5.91468569110618	3.82838910992201	3.0488818485061	2.52437479494742	2.56569077193031	"Gm11602"
